,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score,num_review,review_score
9068,35995,9.7,8.0,9.7,9.0,10.0,9.7,10.0,9.0,-1,-1.0
9069,35996,9.7,8.0,9.7,9.0,10.0,9.7,10.0,9.0,-1,-1.0
9070,35997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9071,35998,5.0,-1.0,5.0,-1.0,7.5,7.5,7.5,7.25,-1,-1.0
9072,36000,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,8.8,-1,-1.0
9073,36001,9.6,8.0,9.6,9.2,10.0,9.5,10.0,8.9,4,4.0
9074,36003,6.9,-1.0,7.2,8.9,7.5,8.1,7.5,7.9,51,3.49
9075,36004,9.8,-1.0,9.8,9.3,10.0,9.8,10.0,9.9,7,7.99
9076,36005,2.0,-1.0,2.0,-1.0,-1.0,2.0,2.0,5.0,2,2.0
9077,36007,9.7,8.0,9.3,9.0,10.0,9.3,10.0,8.8,-1,-1.0
9078,36008,10.0,-1.0,9.2,10.0,10.0,10.0,10.0,9.95,-1,-1.0
9079,36009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9080,36010,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9081,36011,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,10.0,-1,-1.0
9082,36013,9.7,8.0,9.3,9.0,10.0,9.3,10.0,9.0,-1,-1.0
9083,36014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9084,36015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9085,36016,10.0,-1.0,9.0,10.0,10.0,9.5,9.5,9.6,-1,-1.0
9086,36018,8.2,-1.0,6.8,7.9,-1.0,7.8,7.8,8.05,-1,-1.0
9087,36020,6.9,-1.0,6.7,7.9,-1.0,7.0,6.7,6.65,-1,-1.0
9088,36022,9.5,-1.0,9.0,9.5,-1.0,9.5,-1.0,8.6,-1,-1.0
9089,36023,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,10.0,-1,-1.0
9090,36024,7.5,-1.0,9.2,8.8,8.8,8.9,8.3,8.7,-1,-1.0
9091,36025,8.9,8.3,8.8,8.8,-1.0,8.6,-1.0,8.25,-1,-1.0
9092,36027,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9093,36028,8.6,-1.0,9.0,9.1,9.2,9.5,9.2,8.4,-1,-1.0
9094,36029,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
