,id,name,province_id
321,322,Thành Phố Lai Châu,62
322,323,Huyện Lai Vung,47
323,324,Huyện Lang Chánh,16
324,325,Huyện Lạng Giang,24
325,326,Thành Phố Lạng Sơn,27
326,327,Thành Phố Lào Cai,21
327,328,Huyện Lắk,40
328,329,Huyện Lâm Bình,53
329,330,Huyện Lâm Hà,20
330,331,Huyện Lâm Thao,49
331,332,Huyện Lấp Vò,47
332,333,Huyện Lập Thạch,39
333,334,Quận Lê Chân,3
334,335,Huyện Lệ Thủy,12
335,336,Quận Liên Chiểu,50
336,337,Quận Long Biên,11
337,338,Huyện Long Điền,15
338,339,Huyện Long Hồ,37
339,340,Thị Xã Long Khánh,32
340,341,Huyện Long Mỹ,51
341,342,Huyện Long Phú,52
342,343,Huyện Long Thành,32
343,344,Thành Phố Long Xuyên,6
344,345,Huyện Lộc Bình,27
345,346,Huyện Lộc Hà,45
346,347,Huyện Lộc Ninh,35
347,348,Huyện Lục Nam,24
348,349,Huyện Lục Ngạn,24
349,350,Huyện Lục Yên,63
350,351,Huyện Lương Sơn,48
351,352,Huyện Lương Tài,26
352,353,Huyện Lý Nhân,36
353,354,Huyện Đảo Lý Sơn,13
354,355,Huyện Mai Châu,48
355,356,Huyện Mai Sơn,29
356,357,Huyện Mang Thít,37
357,358,Huyện Mang Yang,4
358,359,Huyện M'đrăk,40
359,360,Huyện Mèo Vạc,25
360,361,Huyện Mê Linh,11
361,362,Huyện Minh Hóa,12
362,363,Huyện Minh Long,13
363,364,Huyện Mỏ Cày Bắc,14
364,365,Huyện Mỏ Cày Nam,14
365,366,Thành Phố Móng Cái,10
366,367,Huyện Mộ Đức,13
367,368,Huyện Mộc Châu,29
368,369,Huyện Mộc Hóa,31
369,370,Huyện Mù Cang Chải,63
370,371,Huyện Mường Ảng,57
371,372,Huyện Mường Chà,57
372,373,Huyện Mường Khương,21
373,374,Huyện Mường La,29
374,375,Huyện Mường Lát,16
375,376,Thị Xã Mường Lay,57
376,377,Huyện Mường Nhé,57
377,378,Huyện Mường Tè,62
378,379,Huyện Mỹ Đức,11
379,380,Huyện Mỹ Hào,8
380,381,Huyện Mỹ Lộc,61
381,382,Thành Phố Mỹ Tho,42
382,383,Huyện Mỹ Tú,52
383,384,Huyện Mỹ Xuyên,52
384,385,Huyện Na Hang,53
