,id,name,district_id,province_id
10067,32301,Nhật Tân,239,34
10068,32302,Nguyễn Lương Bằng,239,34
10069,32303,Phạm Hồng Thái,239,34
10070,32304,Phạm Ngọc Khánh,239,34
10071,32305,Phạm Ngũ Lão,239,34
10072,32306,Quốc lộ 5,239,34
10073,32307,Quang Trung,239,34
10074,32308,Tam giang,239,34
10075,32309,Nhà Thờ,239,34
10076,32310,Tô Ngọc Vân,239,34
10077,32311,Tô Hiệu,239,34
10078,32312,Thống Nhất,239,34
10079,32313,Sơn Hòa,239,34
10080,32314,Phan Đăng Lưu,239,34
10081,32315,Trần Bình Trọng,239,34
10082,32316,Đại Lộ Hồ Chí Minh,239,34
10083,32317,Tuy An,239,34
10084,32318,Nguyễn Chí Thanh,239,34
10085,32319,Vũ Dự,239,34
10086,32320,Trường Chinh,239,34
10087,32321,Yết Kiêu,239,34
10088,32322,Trần Phú,239,34
10089,32323,Nguyễn Công Hoan,239,34
10090,32324,Tuy Hòa,239,34
10091,32325,Quảng trường sân tổng hợp,239,34
10092,32326,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,239,34
10093,32327,Vũ Hựu,239,34
10094,32328,Thanh Niên,239,34
10095,32329,Trương Mỹ,239,34
10096,32330,Trần Hưng Đạo,239,34
10097,32331,Hồ Bình Minh,239,34
10098,32332,Tôn Đức Thắng,239,34
10099,32333,Sân vận động thành phố Hải Dương,239,34
10100,32334,Trường Đại học Kinh tế - Kỹ thuật Hải Dương,239,34
10101,32335,Chợ Thành Đông,239,34
10102,32336,Thành cổ Hải Dương,239,34
10103,32337,Hồ Bạch Đằng,239,34
10104,32338,Bến xe Hải Âu,239,34
10105,32339,Bệnh Viện Quân Y 7,239,34
10106,32340,Ga Hải Dương,239,34
10107,32341,Xuân Đài,239,34
10108,32342,Chu Văn An,119,34
10109,32343,Hữu Nghị,119,34
10110,32344,Nguyễn Thái Học 1,119,34
10111,32345,Hưng Đạo,119,34
10112,32346,Siêu thị BigC Hải dương,239,34
10113,32347,Trung tâm Truyền hình Hải Dương,239,34
10114,32348,Quốc Lộ 18,119,34
10115,32349,Thánh Gia Khu Thượng,55,34
10116,32350,Hồ Hòa Bình,239,34
10117,32352,Nguyễn Chế Nghĩa,212,34
10118,32353,Quốc Lộ 37,119,34
10119,32354,Phú Lộc,91,34
10120,32355,Nguyễn Thái Học,119,34
10121,32356,Thanh Niên,119,34
10122,32357,Trung tâm Thương mại Hải Dương,239,34
10123,32358,Quốc lộ 5,302,34
10124,32359,Trần Hưng Đạo,55,34
10125,32361,Tuệ Tĩnh,239,34
10126,32362,Lỗ Sơn,303,34
10127,32363,Yết Kiêu,212,34
10128,32364,Hiệp Sơn,303,34
10129,32366,Nhất Sơn,303,34
10130,32368,Trần Hưng Đạo,303,34
10131,32370,Cẩm Lý,391,34
10132,32372,Bến xe phía tây‎,239,34
10133,32373,Quốc Lộ 39B,212,34
10134,32374,Nguyễn Trãi,391,34
10135,32375,Bình Hà,573,34
10136,32376,Văn Hội,421,34
10137,32377,Khu 2,573,34
10138,32378,Nhân Lư,573,34
10139,32379,Bằng Lai,302,34
10140,32381,Nguyễn Lương Bằng,577,34
10141,32382,Tuệ Tĩnh,577,34
10142,32383,TT Tứ Kỳ,644,34
10143,32385,391,644,34
10144,32386,Khu Di Tích Lịch Sử Địa Đạo Củ Chi,138,33
10145,32387,Bảo Tàng Chứng Tích Chiến Tranh,481,33
10146,32388,Hồ Bán Nguyệt - Cầu Ánh Sao,485,33
10147,32389,Nhà Thờ Đức Bà - Saigon Notre - Dame Basilica,479,33
10148,32390,Chùa Bửu Long,487,33
10149,32391,Phố Đi Bộ Nguyễn Huệ,479,33
10150,32392,Nhà Hát Lớn Thành Phố,479,33
10151,32393,Bưu Điện Thành Phố Hồ Chí Minh,479,33
10152,32394,Đảo Khỉ - Cần Giờ,99,33
10153,32395,Bảo Tàng Áo Dài,487,33
10154,32396,Bảo Tàng Mĩ Thuật TP. HCM - Phó Đức Chính,479,33
10155,32397,Công Viên Gia Định,226,33
10156,32398,Dinh Thống Nhất - Unification Palace,479,33
10157,32399,Bảo Tàng Thành Phố Hồ Chí Minh - Lý Tự Trọng,479,33
10158,32400,Trung Tâm Triển Lãm Tân Bình,61,33
10159,32401,Chùa Vĩnh Nghiêm - Nam Kỳ Khởi Nghĩa,481,33
10160,32402,Chùa Ngọc Hoàng - Mai Thị Lựu,479,33
10161,32403,Chùa Long Hoa Tự,486,33
10162,32404,Fito Museum - Bảo Tàng Y Học Cổ Truyền,488,33
10163,32405,Chùa Viên Giác - Bùi Thị Xuân,61,33
10164,32406,Bảo Tàng Phụ Nữ Nam Bộ - Võ Thị Sáu,481,33
10165,32407,Chùa Phổ Quang,61,33
10166,32408,Bảo Tàng Lịch Sử Việt Nam - Nguyễn Bỉnh Khiêm,479,33
10167,32409,Trung Tâm Triển Lãm & Hội Nghị Sài Gòn (SECC) - Nguyễn Văn Linh,485,33
10168,32410,Bảo Tàng Lực Lượng Vũ Trang Miền Đông Nam Bộ - Hoàng Văn Thụ,61,33
10169,32411,Bát Bửu Phật Đài,52,33
10170,32412,Bảo Tàng Tôn Đức Thắng - Tôn Đức Thắng,479,33
10171,32413,Chùa Ấn Quang - Sư Vạn Hạnh,488,33
10172,32414,Việt Nam Quốc Tự - Đường 3 Tháng 2,488,33
10173,32415,Bảo Tàng Chiến Dịch Hồ Chí Minh - Lê Duẩn,479,33
10174,32416,Chùa Một Cột - Đặng Văn Bi,597,33
10175,32417,Chùa Vạn Đức - Tô Ngọc Vân,597,33
10176,32418,Lăng Ông Bà Chiểu -  Vũ Tùng,63,33
10177,32419,Chùa Hoằng Pháp - Lê Lợi,266,33
10178,32420,Chùa Xá Lợi - Bà Huyện Thanh Quan,481,33
10179,32421,Chùa Ông - Nguyễn Trãi,483,33
10180,32422,Hội Quán Nghĩa Nhuận,483,33
10181,32423,Chùa Bà Hải Nam,483,33
10182,32424,Chùa Phụng Sơn,489,33
10183,32425,Hội Quán Lệ Châu,483,33
10184,32426,Bót Dây Thép,487,33
10185,32427,Chùa Thiên Tôn - An Bình,483,33
10186,32428,Đình Thần Linh Đông,597,33
10187,32429,Co.op Mart - Phan Đình Phùng,231,45
10188,32430,Chợ Đông Kinh - Phai Vệ,326,27
10189,32431,Siêu Thị Thành Đô - Phai Vệ,326,27
10190,32432,Trung Tâm Thương Mại Ông Bố,472,13
10191,32433,Lăng Khải Định,275,1
10192,32434,Đền Huyền Trân Công Chúa,275,1
10193,32435,Chợ Đêm Huế - Nguyễn Đình Chiểu,275,1
10194,32436,Lăng Tự Đức - Khiêm Lăng,275,1
10195,32437,Lăng Minh Mạng,282,1
10196,32438,Huyền Không Sơn Thượng,282,1
10197,32439,Thiền Viện Trúc Lâm Bạch Mã,441,1
10198,32440,Nhà Lưu Niệm Chủ Tịch Hồ Chí Minh,275,1
10199,32441,Bãi Biển Thuận An,451,1
