,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score
284,477,8.8,7.9,9,9.2,-1,8.7,-1,8.7
285,482,-1,-1,-1,-1,-1,-1,-1,7.5
286,506,7,7.3,8,7.5,-1,7.5,-1,6.7
287,538,6.3,-1,7.8,-1,6.2,6.3,5.8,6.8
288,552,8.5,7.8,8.1,8.1,-1,8.4,-1,8.2
289,554,8.9,8.3,8.2,8.8,-1,8.7,-1,8.6
290,619,7.5,7.3,8,7.5,-1,7.5,-1,5
291,642,9.1,8.3,8.7,9,-1,8.9,-1,8.3
292,680,8.8,7.9,8.5,9,-1,8.2,-1,8.6
293,692,4,-1,4,4,-1,4,-1,-1
294,747,9.2,7.3,8,8.8,-1,8,-1,8.1
295,842,8.5,8.2,8.4,8.2,-1,8.3,-1,8.3
296,848,8.2,7.9,8.8,8.3,8.4,8.1,7.4,7.9
297,868,10,10,10,10,-1,10,-1,9.4
298,869,9.1,7.8,8.8,8.8,-1,8.5,-1,8.1
299,910,8.3,7.5,8.3,8.4,-1,7.9,-1,7.8
300,963,7.2,-1,7.3,-1,8,7.4,6.4,7.1
301,1002,7,8,9,9,-1,8,-1,8.7
302,1035,7.8,7.8,7.5,7.3,8.6,7.8,7.9,7.3
303,1073,7.9,7.2,8.8,8.7,-1,7.7,-1,7.5
304,1091,9.5,10,9.5,9.5,-1,9,-1,9.3
305,1092,8.4,8,8,8.4,-1,8.4,-1,7.6
306,1304,8.5,8.1,8.8,8.3,-1,8.1,-1,8.4
307,1323,-1,-1,-1,-1,-1,-1,-1,9
308,1357,9.5,8.2,9.1,9.6,-1,9.4,-1,8.9
309,1431,9.1,8.6,9.2,9.1,-1,9,-1,8.6
310,1435,8.7,8,8.3,9,-1,8.3,-1,8.7
311,1488,9.2,9.1,8.1,9.3,-1,9.1,-1,9
312,1489,8.8,8,8.7,8.7,-1,8.5,-1,8.4
313,1516,-1,-1,-1,-1,-1,-1,-1,8.8
314,1584,7,7,9,7,-1,7,-1,-1
315,1600,8.6,7.6,7.2,8.2,-1,7.8,-1,7.6
316,1721,7.5,6.7,8,7.5,-1,7.5,-1,7.5
317,1777,9.3,7,8.7,9.3,-1,9.3,-1,7.2
318,1782,8.4,8.2,8.4,8.9,-1,8.4,-1,8.4
319,1900,-1,-1,-1,-1,-1,-1,-1,7.6
320,1984,9.2,8.5,9.1,9.2,-1,9.2,-1,9.2
321,2049,8.8,8.2,8.7,8.7,-1,8.5,-1,8.5
322,2085,9.4,8,8.4,8.8,-1,8.4,-1,8.6
323,2092,8.8,6,8.4,9.2,-1,9.2,-1,9
324,2096,8.3,7.6,8.5,8.4,-1,8.4,-1,8.5
325,2126,-1,-1,-1,-1,-1,-1,-1,8.8
326,2353,6.8,-1,8.1,-1,7.1,7.6,6.6,7.2
327,2384,9,8.5,8.8,8.6,-1,8.4,-1,8.3
328,2481,8.5,7.6,8.1,8.1,-1,8.5,-1,8.5
329,2510,6,6,6,6,-1,6,-1,-1
330,2533,9.7,9.5,9.6,9.6,-1,9.7,-1,9.5
331,2571,10,-1,10,10,-1,8,-1,7.7
332,2689,-1,-1,-1,-1,-1,-1,-1,7.5
333,2712,6,6,7,7,-1,6,-1,8.7
334,2820,8.2,7.5,7.8,8,-1,7.5,-1,8.1
335,2965,8.8,-1,6.5,-1,8.7,8.9,7.4,8.1
336,3002,7.9,7.6,7.7,7.8,-1,7.5,-1,7.9
337,3007,8.7,8,8.9,9,-1,8.7,-1,6.5
338,3074,-1,-1,-1,-1,-1,-1,-1,10
339,3095,-1,-1,-1,-1,-1,-1,-1,5.6
340,3199,6,5.7,7.2,6.1,-1,5.9,-1,4.3
341,3217,7.4,6.7,8,7.7,8,7.6,6.5,7.4
342,3277,9.2,-1,8.3,8.5,-1,8.1,-1,8.6
343,3399,9.8,8,8.4,9.6,-1,9.1,-1,9.3
344,3486,8,8,8,8,-1,7.3,-1,7.6
345,3542,-1,-1,-1,-1,-1,-1,-1,8
346,3595,-1,-1,-1,-1,-1,-1,-1,6
347,3665,9.3,9,8.7,8.7,-1,8.7,-1,8.4
348,3724,8.5,-1,8.2,-1,7.8,8,7.2,7.9
349,3746,7.8,7.5,8.4,7.6,-1,7.5,-1,8
350,3887,7.4,-1,7.9,-1,7.2,7.6,6.6,7.3
351,3943,6.4,-1,7.9,-1,5,6.3,6,6.6
352,4031,9.3,8,8.3,8.7,-1,8.8,-1,8.9
353,4039,-1,-1,-1,-1,-1,-1,-1,8
354,4044,-1,-1,-1,-1,-1,-1,-1,-1
355,4076,-1,-1,-1,-1,-1,-1,-1,-1
356,4189,8.9,8.5,8.8,9.1,-1,8.8,-1,9.1
357,4201,8.7,9,7.7,9,7.2,9,7.9,7.8
358,4202,7,8,7,7,-1,7,-1,7
359,4231,7.4,-1,7.9,-1,7.2,7.6,6.6,7.3
360,4268,-1,-1,-1,-1,-1,-1,-1,-1
361,4271,8.8,8,9.3,9,-1,8.7,-1,8.8
362,4298,7.5,7.3,7.5,8,-1,8,-1,7.8
363,4366,8.8,7.7,8.9,8.7,-1,8.3,-1,8.7
364,4448,7.9,-1,8.6,-1,7.1,8.2,7.4,7.8
365,4451,6.8,6.4,7.8,7,-1,6.6,-1,7.2
366,4621,8.8,7.9,9,9.2,-1,8.7,-1,8.7
367,4660,-1,-1,-1,-1,-1,-1,-1,7.2
368,4667,9.2,9,8,9,-1,9.6,-1,8.8
369,4760,7.9,7.6,7.7,7.8,-1,7.5,-1,7.9
370,4807,8.7,8.3,9,8.9,8.8,8.8,8.1,8.6
371,4859,8.5,7.9,8.3,8.5,-1,8.6,-1,8.2
372,4954,-1,-1,-1,-1,-1,-1,-1,-1
373,5014,-1,-1,-1,-1,-1,-1,-1,-1
374,5799,9,7.9,8.5,8.5,9.3,9.2,9.3,8.6
375,5868,8.8,7.5,8.3,8.9,-1,8.6,-1,8.7
376,5901,7.4,7.5,7.8,7.4,-1,7.8,-1,7.6
377,6119,-1,-1,-1,-1,-1,-1,-1,9.3
378,6126,8.2,7.9,8.8,8.3,8.4,8.1,7.4,7.9
379,6147,8,8,8.7,8,-1,8.7,-1,8.4
380,6200,-1,-1,-1,-1,-1,-1,-1,-1
381,6296,10,8,10,10,-1,10,-1,7.2
382,6357,-1,-1,-1,-1,-1,-1,-1,8.4
383,6689,-1,-1,-1,-1,-1,-1,-1,8.8
384,6816,8.3,7.6,8.6,8.5,-1,8.3,-1,8.1
385,6817,9.1,8.3,8.7,9,-1,8.9,-1,8.8
386,7083,6.8,6.4,7.8,7,-1,6.6,-1,7.5
387,7086,8.5,7.8,8.1,8.3,8.7,8.2,8,8.1
388,7311,8.7,-1,8,-1,9.3,8.4,8.6,8.4
389,7366,8.8,8.7,8,8.7,-1,8.5,-1,8.7
390,7371,6,5.7,7.2,6.1,-1,5.9,-1,6.7
391,7372,8.7,7.8,8.3,8.7,-1,8.5,-1,8.2
392,7530,-1,-1,-1,-1,-1,-1,-1,9.4
393,7531,-1,-1,-1,-1,-1,-1,-1,9.3
394,7672,9.1,9,8.3,9.7,-1,9.1,-1,8
395,7815,-1,-1,-1,-1,-1,-1,-1,-1
396,7902,9.3,8.5,8.8,9,-1,8.9,-1,8.8
397,7904,8.3,8.6,8.2,9.2,-1,8.4,7.6,8.2
398,8399,8.8,8.4,8.8,8.8,-1,8.7,-1,7.8
399,8402,-1,-1,-1,-1,-1,-1,-1,8.7
400,8408,9.4,8.7,8.6,9.2,-1,9.4,-1,9.1
401,8409,9.2,8,8.6,9.1,-1,9.1,-1,8.9
402,8411,9,8.2,8.2,8.9,-1,8.7,-1,8.7
403,8418,8.5,8.1,8.6,8.3,-1,8.2,-1,8.1
404,8425,8.7,6,6.3,8.7,-1,9,-1,8.3
405,8426,9.2,8.5,8,8.8,-1,9,-1,8.6
406,8427,8.2,7.7,8.5,8.1,-1,7.8,-1,7.9
407,8430,9.4,8,8.4,8.8,-1,8.4,-1,8.2
408,8434,9.6,8.2,8.7,9.4,-1,9.3,-1,9.1
409,8441,10,4,10,10,-1,8,-1,-1
410,8446,-1,-1,-1,-1,-1,-1,-1,6.3
411,8447,9,9,9,8.7,-1,8.7,-1,8.2
412,8449,8.5,7.9,7.3,8.4,-1,8.2,-1,7.8
413,8453,-1,-1,-1,-1,-1,-1,-1,9.4
414,8455,8.6,8.2,8.5,8.7,-1,8.6,-1,8.5
415,8457,8.7,8.2,8.6,8.6,-1,8.5,-1,8
416,8460,-1,-1,-1,-1,-1,-1,-1,-1
417,8462,-1,-1,-1,-1,-1,-1,-1,8.8
418,8463,8.1,8.2,7.6,8.3,-1,8.1,-1,8.2
419,8467,8.8,8.2,8.4,8.7,-1,8.7,-1,8.6
420,8468,9,8,8,9,-1,8,-1,9.2
421,8472,9,8,8.3,8.7,-1,8.7,-1,8.7
422,8478,8,8,8,8,-1,8,-1,-1
423,8479,8,8,8,8,-1,7.3,-1,-1
424,8481,9.4,8.8,8.3,9.4,-1,9.1,-1,8.9
425,8482,-1,-1,-1,-1,-1,-1,-1,9.2
426,8483,-1,-1,-1,-1,-1,-1,-1,9.4
427,8487,-1,-1,-1,-1,-1,-1,-1,4
428,8489,-1,-1,-1,-1,-1,-1,-1,4
429,8490,9.2,8.9,8.7,8.8,-1,8.8,-1,8.7
430,8491,8.8,7.5,8.1,8.6,-1,8.4,-1,8.5
431,8497,-1,-1,-1,-1,-1,-1,-1,-1
432,8498,6,6,6,6,-1,6,-1,-1
433,8499,9.2,8,8.2,9,-1,9,-1,8.9
434,8505,9.2,-1,9,10,10,9.7,9.5,9.4
435,8506,9.1,9,7,10,-1,9.1,8.5,8.4
436,8508,-1,-1,-1,-1,-1,-1,-1,7
437,8509,-1,-1,-1,-1,-1,-1,-1,-1
438,8792,8.8,7.5,8.1,8.6,-1,8.4,-1,8.8
439,8799,8.2,-1,8.5,8.1,8.2,8.2,7.9,8.3
440,8807,9.2,-1,8.7,9.2,-1,8.4,-1,8.9
441,8817,-1,-1,-1,-1,-1,-1,-1,7.4
442,8822,9.2,8.7,7.9,9.3,-1,9.2,-1,8.7
443,8829,8.1,8.2,7.6,8.3,-1,8.1,-1,8.2
444,8830,-1,-1,-1,-1,-1,-1,-1,4
445,8836,-1,-1,-1,-1,-1,-1,-1,-1
446,9078,8.7,8.2,8.1,8.7,-1,8.5,-1,8.3
447,9088,7.3,-1,7.3,-1,7.4,8.2,7.4,7.5
448,9100,7.9,-1,8.4,7.6,-1,7.3,-1,7.7
449,9109,8.7,8,8.9,9,-1,8.7,-1,9
450,9117,-1,-1,-1,-1,-1,-1,-1,-1
451,9118,9,10,8.5,9,-1,9,-1,9.3
452,9151,-1,-1,-1,-1,-1,-1,-1,7.4
453,9152,6.5,7.3,7,6.5,-1,6.5,-1,8.3
454,9154,8.5,7.9,7.3,8.4,-1,8.2,-1,7.8
455,9158,-1,-1,-1,-1,-1,-1,-1,9.3
456,9159,9.3,8,8,9.3,-1,8.7,-1,-1
457,9952,8,-1,8,8,-1,8,-1,-1
458,9963,6,6,7,7,-1,6,-1,8.7
459,21682,8.4,8,6.8,10,-1,8.3,7.5,7.6
460,21739,8.4,8.7,8.7,8.2,-1,8.6,-1,8
461,21768,9.4,8.3,8,9.2,-1,8.9,-1,8.3
462,21819,-1,-1,-1,-1,-1,-1,-1,5.7
463,21873,8.5,8.2,8.5,8.4,-1,8.4,-1,8.4
464,21935,7.6,-1,7.4,8.2,-1,7.6,5.8,7.4
465,21957,8.6,-1,8.6,-1,-1,8.3,7.8,7.9
466,22001,-1,-1,-1,-1,-1,-1,-1,10
467,22007,10,-1,10,10,-1,10,-1,-1
468,22018,8,-1,9,10,-1,9,-1,5.2
469,22052,8.7,7.6,8.1,8.5,-1,7.7,-1,8.2
