,domain_hotel_id,min_price_update
123,31936163,-1
124,1000000509592,330000
125,44701332,233766
126,10462503,331168
127,1000000554725,500000
128,12537663,303030
129,3000010036650,550000
130,445300,346320
131,3000010033524,315000
132,1827495,328000
133,1000000564847,2831494
134,1000000557809,647000
135,12767411,562771
136,15059196,497835
137,12749034,372294
138,12769572,259740
139,1000000557924,300000
140,267313,952381
141,1000000554717,950000
142,48536340,311688
143,1871588,360000
144,3007930,329004
145,445299,346320
146,1000000554716,320000
147,12538470,305629
148,3000010037756,600000
149,45000724,-1
150,3000010032075,731417
151,24071127,-1
152,442332,363636
153,3000010035144,289385
154,16580204,251082
155,3000010039623,239492
156,9848328,-1
157,3007930,329004
158,27294810,321342
159,1000000551797,400000
160,1000000527581,350000
161,11253168,303030
162,19629434,289681
163,1000000554714,345000
164,621157,259740
165,3000010035059,900000
166,1000000539601,1035000
167,3000010023941,900000
168,12537401,432900
169,1000000608058,420000
170,15656676,493507
171,48190874,428571
172,3000010041323,335000
173,569791,242424
174,1000000581695,338281
175,14886503,241558
176,1000000592987,450000
177,15170953,519481
178,27294810,321342
179,12738725,-1
180,1000000481662,545000
181,12467951,525455
182,9476336,995671
183,1000000508524,450000
184,3000010027654,688500
185,7768583,995671
186,297027,546667
187,1000000508230,623700
188,10443462,553334
189,19675658,381818
190,1000000509230,750000
191,3000010041054,360000
192,12537401,432900
193,1000000552220,450000
194,12769572,259740
195,12738454,692641
196,1000000469899,975000
197,8772062,1307359
198,1000000427602,1029551
199,1000000539601,1035000
200,8772062,1307359
201,1000000531368,1546719
202,926818,951259
203,1157572,1621496
204,1000000537349,624000
205,1432740,467200
206,24071304,909091
207,1000000554725,500000
208,16257665,346320
209,1000000629527,399153
210,13494218,272727
211,19640850,432900
212,1000000628183,1437633
213,16222860,7386882
214,1000000530338,1477625
215,3000010037957,1377266
216,18030680,2035143
217,2570684,948918
218,1000000609432,598729
219,36623074,1184416
220,1000000547235,1361208
221,13160905,-1
222,1000000548332,1876120
223,12392590,1061065
224,3000010032255,550000
225,1000000557597,801000
226,1000000570196,1200000
227,13384148,1350650
228,1000000569744,688500
229,13381666,-1
230,1000000561111,690000
231,15242535,519481
232,1000000594716,585000
233,1794598,510000
234,12810940,607792
235,1000000558946,756000
236,1000000581397,555071
237,3000010034910,423550
238,12330663,2883117
239,9000000755799,3692166
240,3000010042074,850000
241,1000000558974,650000
242,12812187,584416
243,1554272,600000
244,13494218,272727
245,14987432,661899
246,3000010022828,890020
247,12629827,432900
248,1000000554180,367500
249,3000010034913,472000
250,13425171,-1
251,3000010035650,229514
252,1000000573747,360000
253,9390156,1995663
254,1000000479884,1200000
255,1000000554143,706000
256,1000000570563,290000
257,1000000557809,647000
258,1000000576596,476000
259,42543316,10129870
260,26722679,985714
261,13494218,272727
262,18837781,584416
263,31936163,-1
264,3000010026387,600000
265,1000000593145,490000
266,15171876,519481
267,3000010037516,449048
268,18352231,467533
269,3000010037098,550000
270,1000000581410,612000
271,14704051,311688
272,1000000576749,600000
273,13420298,499091
274,6248924,466650
275,1000000569288,581400
276,1160247,503377
277,9000000494385,1596612
278,16223469,1385281
279,1000000555109,633656
280,3000010037516,449048
281,1539571,272727
282,3000010037667,280000
283,1556741,324000
284,5860365,250000
285,12516656,-1
286,3000020014975,2185000
287,3000010035650,229514
288,18837781,584416
289,12537981,-1
290,1000001739629,795000
291,1283160,200000
292,25825500,-1
293,1285985,455000
294,1285985,455000
295,1000000509592,330000
296,32510254,-1
297,16257596,259740
298,1000000629523,500000
299,12516656,-1
300,28236816,623221
301,1000000552762,836000
302,12812187,584416
303,1554272,600000
304,1000000558974,650000
305,14703824,476190
306,48728832,466753
307,1000000572348,645468
308,9000000632692,280000
309,1000000526227,682062
310,11234522,1560718
311,4934813,668409
312,3000010033380,762500
313,17328553,584415
314,3000010032507,306000
315,1000000609388,540000
316,15685451,545455
317,16257216,242726
318,21955050,480000
319,1000000581413,554400
320,4137560,277765
321,9000000804148,478984
322,1905311,288000
323,1246051,346878
324,16881930,-1
325,38515836,-1
326,3000010041771,450000
327,9000000164388,550000
328,15492596,519481
329,3000010039558,353250
330,3000010025737,1187480
331,16608036,666667
332,1000000594776,594000
333,1905311,288000
334,15492596,519481
335,1000000602182,500000
336,15059196,497835
337,1000000589910,390000
338,1643590,227273
339,44528076,-1
340,2000316,170000
341,3000010028258,275400
342,16537900,233766
343,19485156,-1
344,16224659,606061
345,15727630,2807951
346,1000000612750,1548874
347,3000010041592,1750000
348,15242631,1385281
349,4000000919286,339279
350,19640721,294372
351,16434907,315585
352,3000010028778,371000
353,15588831,1089391
354,1000000605702,879780
355,6769603,337662
356,1894386,390000
357,3000010022682,997883
358,5000002864303,327000
359,1568448,298182
360,1827495,328000
361,3000010037099,550000
362,16538111,930953
363,3000010037351,450000
364,5867421,327273
365,3845413,289000
366,1000000628183,1437633
367,16222860,7386882
368,1622358,715619
369,3000010035942,647900
370,3000010021220,350000
371,1594880,-1
372,1000000553965,750000
373,39219624,-1
374,3000010037929,745000
375,1000000593145,490000
376,1580230,439748
377,1873415,497950
378,9679302,202598
379,1199477,758008
380,3000010038830,382500
381,1871588,360000
382,3000010026111,317721
383,3000010037929,745000
384,16579900,-1
385,17920328,1255411
386,3000010025364,690000
387,1614608,-1
388,1000000598510,486400
389,15380705,443290
390,5907145,229091
391,16278158,276080
392,1000000557063,798307
393,3000010029484,512190
394,16580078,-1
395,16257180,691775
396,1000000629496,555862
397,1000000551168,455033
398,12492271,555195
399,1568448,298182
400,3000010034853,450000
401,1000000469894,648000
402,16224659,606061
403,3000010022936,730000
404,9000000370727,568793
405,17752545,816450
406,3000010036947,726400
407,1778064,405000
408,9390160,1453813
409,1000000479885,1495437
410,1000000553513,2006742
411,9847161,1037381
412,1000000425916,802961
413,9391137,1309091
414,1000000553319,900000
415,12603234,779221
416,8297102,303030
417,1000000459954,219725
418,1000000557063,798307
419,1905311,288000
420,3000010035452,400000
421,1165946,311688
422,9848328,-1
423,1197417,590909
424,16755633,735931
425,9000000290951,848200
426,1000000558974,650000
427,1554272,600000
428,18588334,692640
429,3000010037929,745000
430,3000010032108,720000
431,18654131,732467
432,19674760,770996
433,3000020000231,854000
434,3000020014994,665000
435,5865912,585455
436,3963049,644000
437,6201602,334950
438,1000001718986,347263
439,32769298,301298
440,4998902,603429
441,27342620,793657
442,30353806,-1
443,6363037,1046347
444,32611799,-1
445,1000000592987,450000
446,3000010034918,550000
447,19538809,-1
448,17754810,4449351
449,3000020001250,6000000
450,38823871,779221
451,3000020009238,1020000
452,3963049,644000
453,1000000570196,1200000
454,34014178,-1
455,1000000461819,3200000
456,34014178,-1
457,1000000675366,5710000
458,34014178,-1
459,1000000675366,5710000
460,34014178,-1
461,1000000675366,5697910
462,34014178,-1
463,1000000675366,5710000
464,1000000461819,3200000
465,1000000461819,3200000
466,1000000461819,3200000
467,1000000461819,3193224
468,11093958,472727
469,5934509,504000
470,3000020014994,665000
471,1000001739629,795000
472,32912974,-1
473,6203478,-1
474,2240324,286364
475,6878968,270000
476,4605207,243000
477,1761772,549784
478,6748460,-1
479,41827368,233766
480,7928631,150000
481,19640721,294372
482,14695561,296770
483,1285516,353030
484,9065853,315000
485,7318435,544545
486,32458656,-1
487,6172876,350000
488,4000000919286,339279
489,4934813,668409
490,24996249,1385281
491,2570684,948918
492,18522717,1304762
493,3000010043411,1643612
494,19502621,1380022
495,3000020000089,1593713
496,15059196,497835
497,32091854,1714284
498,1000001656416,1682106
499,5943665,1176312
500,3000020017702,1697397
501,5925288,-1
502,34529239,1141645
503,3000010035421,1524267
504,3000020014046,910140
505,1000001735204,748000
506,32835159,647619
507,4116519,792000
508,1624612,1229107
509,3000010030791,1760000
510,17447264,1246753
511,4000001010413,552000
512,17920328,1255411
513,3000010036261,1431963
514,9000000808843,2530000
515,29466076,-1
516,17963587,4667664
517,30542392,519481
518,3000020016307,975200
519,3000020008517,1820000
520,4137560,277765
521,1000000557063,798307
522,17920795,-1
523,18030680,2035143
524,3000010037957,1377266
525,1000000914815,722500
526,1266957,1720000
527,5427108,584416
528,6250298,311688
529,33757378,701299
530,1000001789782,898094
531,17752545,816450
532,3000010036947,726400
533,35092539,521212
534,4670803,516110
535,9000000134585,671600
536,6840865,455065
537,1000000833878,597733
538,4436278,714286
539,22641128,865801
540,3000010040631,1256634
541,19700405,3116883
542,6117931,496000
543,29991614,506494
544,4044431,773500
545,3000020015742,908074
546,6840865,455065
547,4934813,668409
548,3000020002857,1215000
549,1000000580679,535000
550,9000000801733,1000000
551,2411304,647186
552,1000000480064,637500
553,11253800,987013
554,14695668,432900
555,48728832,466753
556,4158720,-1
557,9000000873213,597733
558,3732227,997500
559,21955050,480000
560,1000000581413,554400
561,44701332,233766
562,21475850,3544398
563,1000000799592,4699218
564,5867421,327273
565,3845413,289000
566,3000020017456,625000
567,5938168,632727
568,31947313,561039
569,4225821,626400
570,3000010040212,2980000
571,3000010026111,317721
572,36898723,514286
573,3000020021019,635400
574,26722679,985714
575,1000000553327,799303
576,1624474,5000000
577,1000000658278,5762773
578,17273008,4900000
579,1000000675462,500000
580,19538809,-1
581,6474339,524680
582,9000000020384,1551175
583,4512813,606005
584,3755068,408240
585,3000010035209,807500
586,2113826,850000
587,3000020017439,969943
588,31888818,743376
589,9000000727945,299366
590,44701332,233766
591,5038048,818182
592,4972249,1142857
593,9056360,818182
594,4000000958459,1347143
595,1986312,4929943
596,3000010038443,4349730
597,1986312,4929943
598,33373474,198874
599,3000020017503,450000
600,3000020011483,860000
601,3000010040268,400000
602,19658125,562771
603,3358898,1007345
604,21082333,1542857
605,3000020004025,1105734
606,5740431,1036000
607,2000316,170000
608,1000000469894,648000
609,2963098,643939
610,4000000919286,339279
611,19640721,294372
612,35546488,-1
613,4137560,277765
614,3000020007461,348221
615,22235266,314617
616,3000020016487,410878
617,1165946,311688
618,38913516,389610
619,3000020021963,476100
620,6677997,1224164
621,6201602,334950
622,1000001718986,347263
623,32769298,301298
624,1000000485725,880000
625,34571072,1534572
626,17964511,333333
627,3000020007119,10000000
628,26768652,1038961
629,3000020014055,900000
630,14703824,476190
631,1000000427602,1029551
632,6749195,318182
633,4555074,350000
634,3000020016322,10000000
635,3000020003798,586988
636,1000001057662,803762
637,16375260,454545
638,30067624,626087
639,42678207,1038961
640,3000020013966,400000
641,25825500,-1
642,15492596,519481
643,3000010032540,676500
644,5907145,229091
645,9000000534019,640000
646,16278158,276080
647,4000900,226800
648,3000010033524,315000
649,46062558,-1
650,3000020001481,465000
651,9000000001455,558815
652,35640331,622864
653,4067431,696970
654,18837883,652468
655,3000010040822,564003
656,3000010038929,470000
657,38515836,-1
658,3000010036761,600000
659,33283521,-1
660,1569716,409091
661,1810629,450000
662,3000020021350,650000
663,7023730,-1
664,5865912,585455
665,38823871,779221
666,3963049,644000
667,3000020014994,665000
668,6910258,-1
669,3000010039558,353250
670,6341930,1970455
671,4308896,2167500
672,3000020013966,400000
673,25825500,-1
674,1000000576596,476000
675,42543316,10129870
676,1000001054796,5987297
677,3519007,7128000
678,3000020017503,450000
679,29466076,-1
680,3000010026387,600000
681,10560437,792000
682,32835159,647619
683,1000001735204,748000
684,37242567,467533
685,9734377,-1
686,9000000099213,598729
687,4116519,792000
688,1622358,715619
689,3000010035942,647900
690,19675658,381818
691,3000020018211,345761
692,5873489,238120
693,9000000170894,942007
694,37622388,321072
695,4641301,490909
696,1000000609388,540000
697,15685451,545455
698,5659667,7200000
699,3519007,7128000
700,3519007,7128000
701,1000001054796,5987297
702,29313587,3896104
703,3000020015133,648624
704,29285004,506494
705,16257415,2383636
706,55027086,-1
707,3000020014994,665000
708,3000010042074,850000
709,10560437,792000
710,1000001735204,748000
711,32835159,647619
712,6910040,-1
713,16257596,259740
714,1000000629523,500000
715,3000020013964,420000
716,3000010025138,420000
717,3845413,289000
718,37882053,-1
719,3000020014758,602795
720,17920795,-1
721,1000001627885,259450
722,31827743,276398
723,1000000557340,429090
724,3000010032512,403480
725,19629434,289681
726,1000000746087,10976710
727,19905500,6060606
728,30536197,140693
729,38515836,-1
730,3000010026642,1050000
731,48546542,357576
732,9000000804148,478984
733,19629434,289681
734,6677997,1224164
735,3000010022828,890020
736,14987432,661899
737,1624612,1229107
738,35549569,-1
739,2418321,1227273
740,2487311,1350000
741,16625922,1036364
742,6673240,-1
743,3000020020356,450000
744,7354030,-1
745,1000000554714,345000
746,9000000170743,614695
747,36474296,480000
748,6623478,450000
749,3000020012744,2720000
750,18340701,2354978
751,21518156,467533
752,17894121,-1
753,3000020017774,353250
754,9000000170761,379195
755,36478801,428571
756,8189650,368182
757,1000000573747,360000
758,40204473,1276191
759,15380920,562771
760,5848278,650000
761,14695555,334776
762,27256424,-1
763,11093958,472727
764,44150324,441559
765,5934509,504000
766,3000020018435,1779050
767,3000020018435,1779050
768,9000000876724,4194007
769,15171876,519481
770,1000000593145,490000
771,10654842,-1
772,9000000459737,6693445
773,42535506,6623376
774,5729008,-1
775,45258443,-1
776,45185412,389610
777,9000000718648,498942
778,3358898,1007345
779,27240607,350649
780,42543316,10129870
781,9000000638548,12972476
782,9000000337012,365238
783,38732164,285205
784,5370241,250000
785,1000000527540,528877
786,11252079,458874
787,44054935,362486
788,9000000571770,466237
789,9000000732464,653058
790,45387118,506494
791,42347762,865801
792,9000000566987,997883
793,5891088,524875
794,10564007,477159
795,1000000546793,770000
796,44906758,571429
797,37275644,623377
798,9000000726043,898096
799,44511727,701299
800,9000000550715,798305
801,42544849,623377
802,42577204,116883
803,9000000549432,279407
804,9000000164386,300000
805,38287827,116883
806,9000000800209,399153
807,45838668,311688
808,45506822,272727
809,3000020020326,271455
810,4448743,315000
811,9000000784504,399153
812,48536340,311688
813,1871588,360000
814,48546542,357576
815,9000000804148,478984
816,13429142,472727
817,9000000220079,599000
818,38430941,466753
819,5337416,599000
820,44781671,311688
821,3000020019041,360000
822,1000000557063,798307
823,45482742,415584
824,5942464,315000
825,9000000727424,349257
826,42116617,-1
827,4137560,277765
828,39269791,-1
829,44465700,467533
830,41827368,233766
831,9000000337095,1407014
832,39560954,974026
833,45996794,545455
834,9000000803314,698518
835,14695668,432900
836,9000000873213,597733
837,48728832,466753
838,4158720,-1
839,4137560,277765
840,9000000846523,734437
841,38227384,432900
842,39539923,545455
843,9000000337333,698518
844,40064961,-1
845,42567984,864935
846,9000000573876,2145447
847,42256810,506494
848,9000000564070,648622
849,12795045,227273
850,46062558,-1
851,5865912,585455
852,32033297,506493
853,3000020014758,602795
854,4845558,521739
855,23481428,519481
856,3257886,650000
857,12227250,140000
858,9000000804808,140658
859,45845639,109091
860,41927646,-1
861,1000000488528,9978828
862,548919,303030
863,239419,1558442
864,186740,1385281
865,9625404,-1
866,3000020014970,419112
867,24325929,-1
868,65102,1731602
869,3000010025676,3011096
870,22578287,2597403
871,1000000471542,850000
872,8963004,735931
873,288282,662338
874,356364,765000
875,20356731,121212
876,3000010026665,250000
877,255043,818182
878,1594213,818182
879,3000010025016,945000
880,303645,945000
881,1000000623606,1242000
882,258717,1440000
883,411852,779221
884,1000000488528,9978828
885,9782867,8658009
886,519400,1627243
887,1000000153223,2142536
888,252374,1928282
889,289283,-1
890,10631127,-1
