,hotel_id,breakfast,wifi,carpark,airport,restaurant,deposit_box,baby,bar,laundry,tour,spa,pool
9096,35982,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9097,35983,-1,1,0,1,0,0,0,0,1,-1,-1,-1
9098,35984,-1,1,0,0,0,0,0,0,0,0,0,0
9099,35985,-1,1,0,0,0,0,0,0,1,0,1,0
9100,35986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9101,35987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9102,35988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9103,35991,-1,-1,1,-1,-1,-1,-1,-1,1,0,1,0
9104,35993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9105,35994,-1,1,0,1,0,0,0,0,1,-1,-1,-1
9106,35995,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9107,35996,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9108,35997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9109,35998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9110,36000,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1
9111,36001,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9112,36003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9113,36004,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1
9114,36005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9115,36007,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0
9116,36008,-1,0,0,1,0,0,0,0,1,-1,-1,-1
9117,36009,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0
9118,36010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9119,36011,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
9120,36013,-1,1,0,0,0,0,0,0,1,1,0,0
9121,36014,-1,0,0,1,0,0,0,0,0,-1,-1,-1
9122,36015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9123,36016,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
9124,36018,-1,1,0,1,0,1,1,1,1,0,1,1
9125,36020,-1,1,0,1,0,0,0,0,1,0,0,1
9126,36022,-1,1,0,0,0,0,0,0,1,1,1,1
9127,36023,-1,1,0,0,0,0,0,0,0,0,0,0
9128,36024,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9129,36025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9130,36027,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9131,36028,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1
